epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,587.673,1.62085,1.38658,1.6281,0.84468,0.72631,0.77228,0.32975,1.81416,1.29088,1.84201,0.000539275,0.000539275,0.000539275
43,598.236,1.58971,1.34728,1.6037,0.74382,0.70578,0.75066,0.32663,1.7896,1.36523,1.8382,0.000511769,0.000511769,0.000511769
44,608.763,1.57482,1.31916,1.60216,0.85604,0.69881,0.77053,0.34115,1.79251,1.28115,1.80705,0.000484263,0.000484263,0.000484263
45,619.352,1.55571,1.28909,1.58152,0.83538,0.7386,0.78327,0.34017,1.79949,1.27599,1.81103,0.000456758,0.000456758,0.000456758
46,629.811,1.55563,1.27025,1.58042,0.77503,0.64797,0.74086,0.33033,1.80297,1.28765,1.82937,0.000429253,0.000429253,0.000429253
47,640.274,1.56678,1.29596,1.60473,0.74633,0.71904,0.78806,0.33997,1.83087,1.25582,1.86381,0.000401747,0.000401747,0.000401747
48,650.754,1.56057,1.28433,1.59371,0.85349,0.67397,0.77293,0.34787,1.7903,1.27214,1.80409,0.000374242,0.000374242,0.000374242
49,661.408,1.53337,1.30339,1.58979,0.86334,0.72107,0.7973,0.3328,1.80613,1.23907,1.80297,0.000346736,0.000346736,0.000346736
50,672.062,1.54107,1.28112,1.57016,0.87383,0.70312,0.77037,0.34014,1.79979,1.25877,1.83172,0.000319231,0.000319231,0.000319231
51,700.019,1.59901,1.17361,1.66245,0.8477,0.68944,0.76527,0.34765,1.77351,1.28767,1.81083,0.000291725,0.000291725,0.000291725
52,710.547,1.53339,1.16381,1.62059,0.80941,0.7218,0.78113,0.33858,1.79124,1.2684,1.84039,0.00026422,0.00026422,0.00026422
53,721.031,1.54724,1.15456,1.62834,0.83478,0.72223,0.79758,0.33522,1.81295,1.22564,1.89123,0.000236714,0.000236714,0.000236714
54,731.906,1.53313,1.11723,1.62444,0.84297,0.73003,0.77616,0.33251,1.78755,1.25307,1.84244,0.000209209,0.000209209,0.000209209
55,742.417,1.48783,1.11563,1.5976,0.80829,0.73501,0.77648,0.32436,1.8043,1.28538,1.87319,0.000181703,0.000181703,0.000181703
56,752.974,1.49456,1.11976,1.61285,0.81595,0.74904,0.80344,0.34014,1.80308,1.23933,1.87967,0.000154198,0.000154198,0.000154198
57,763.613,1.487,1.08758,1.59445,0.80521,0.73631,0.78302,0.32836,1.79477,1.23397,1.86298,0.000126692,0.000126692,0.000126692
58,776.536,1.50789,1.08012,1.58814,0.81992,0.74312,0.77991,0.32766,1.81056,1.241,1.86706,9.91865e-05,9.91865e-05,9.91865e-05
59,792.203,1.50239,1.06834,1.60437,0.79012,0.73379,0.77552,0.33375,1.80477,1.24039,1.87565,7.1681e-05,7.1681e-05,7.1681e-05
60,807.688,1.5008,1.07641,1.59653,0.83896,0.75312,0.78523,0.34033,1.82007,1.22423,1.88214,4.41755e-05,4.41755e-05,4.41755e-05
